station,station_name,go_live_date,region,status,lat,lon
3005,7th & Flower,7/7/2016,DTLA,Active,34.0485,-118.25853700000002
3006,Olive & 8th,7/7/2016,DTLA,Active,34.04554,-118.256668
3007,5th & Grand,7/7/2016,DTLA,Active,34.05048,-118.254593
3008,Figueroa & 9th,7/7/2016,DTLA,Active,34.046612,-118.262733
3010,11th & Maple,7/10/2016,DTLA,Active,34.037048,-118.254868
3011,Figueroa & Pico,7/12/2016,DTLA,Active,34.041129999999995,-118.267982
3013,Anaheim & Avalon,7/31/2017,Port of LA,Inactive,33.779819,-118.263023
3014,Union Station West Portal,7/7/2016,DTLA,Active,34.05661,-118.23721299999998
3016,Los Angeles & Temple,7/7/2016,DTLA,Active,34.052898,-118.24156200000002
3018,Grand & Olympic,7/7/2016,DTLA,Active,34.043732,-118.260139
3019,12th & Hill,7/7/2016,DTLA,Active,34.038609,-118.260857
3020,Hill & Washington,7/7/2016,DTLA,Active,34.031052,-118.26709
3021,3rd & Rose,7/7/2016,DTLA,Inactive,34.0456085,-118.23703
3022,3rd & Santa Fe,7/7/2016,DTLA,Active,34.04607,-118.233093
3023,1st & Judge John Aiso,7/7/2016,DTLA,Active,34.050911,-118.240967
3024,Hope & 1st,7/13/2016,DTLA,Active,34.05772,-118.24897
3025,Grand & Washington,7/7/2016,DTLA,Active,34.03286,-118.268082
3026,Figueroa & Cesar Chavez,7/7/2016,DTLA,Active,34.063179,-118.24588
3027,Spring & 3rd,7/7/2016,DTLA,Active,34.04998,-118.24716200000002
3028,Grand & Temple,7/7/2016,DTLA,Active,34.058319,-118.246094
3029,Main & 4th,7/7/2016,DTLA,Active,34.048851,-118.246422
3030,Main & 1st,7/7/2016,DTLA,Active,34.051941,-118.24353
3031,7th & Spring,7/7/2016,DTLA,Inactive,34.044701,-118.252441
3032,Hope & 6th,7/7/2016,DTLA,Active,34.049889,-118.255882
3033,Main & 9th,7/7/2016,DTLA,Active,34.040989,-118.255798
3034,Hope & 11th,7/7/2016,DTLA,Active,34.042061,-118.263382
3035,Figueroa & 8th,7/7/2016,DTLA,Active,34.048401,-118.260948
3036,Willow St & Mateo St,7/7/2016,DTLA,Active,34.039188,-118.232529
3037,Imperial & 7th,7/7/2016,DTLA,Active,34.034801,-118.231277
3038,Main & 5th,7/7/2016,DTLA,Inactive,34.046822,-118.248352
3040,Wilshire & Witmer,7/7/2016,DTLA,Active,34.05357,-118.266357
3042,1st & Central,7/7/2016,DTLA,Active,34.049301,-118.238808
3045,18th & San Pedro,7/7/2016,DTLA,Active,34.028511,-118.256668
3046,2nd & Hill,7/12/2016,DTLA,Active,34.052872,-118.24748999999998
3047,Pico & Flower,7/7/2016,DTLA,Active,34.039982,-118.266403
3048,5th & Hewitt,7/13/2016,DTLA,Active,34.041691,-118.235352
3049,2nd & Figueroa,7/7/2016,DTLA,Active,34.056969,-118.253593
3051,7th & Broadway,7/7/2016,DTLA,Inactive,34.045421999999995,-118.253517
3052,7th & Bixel,7/7/2016,DTLA,Active,34.051102,-118.264557
3054,Factory Place & Alameda,7/7/2016,DTLA,Active,34.039219,-118.236488
3055,7th & Main,7/7/2016,DTLA,Inactive,34.044159,-118.251579
3056,Grand & 14th,7/7/2016,DTLA,Active,34.03746,-118.265381
3057,18th & Figueroa,7/7/2016,DTLA,Active,34.035678999999995,-118.270813
3058,Industrial St & Mateo St,7/7/2016,DTLA,Active,34.035801,-118.23317
3059,11th & Santee,7/7/2016,DTLA,Inactive,34.037949,-118.256271
3060,Pico & Maple,7/7/2016,DTLA,Inactive,34.034882,-118.25769
3062,3rd & San Pedro,7/7/2016,DTLA,Active,34.047749,-118.243172
3063,Olive & 5th,7/7/2016,DTLA,Active,34.048038,-118.25373799999998
3064,Grand & 7th,7/11/2016,DTLA,Active,34.04681,-118.256981
3065,New High & Ord,7/7/2016,DTLA,Active,34.060558,-118.238327
3066,Spring & College,7/7/2016,DTLA,Active,34.063389,-118.23616
3067,Main & 6th,7/7/2016,DTLA,Active,34.045181,-118.250237
3068,Grand & 3rd,7/7/2016,DTLA,Active,34.0532,-118.250954
3069,Broadway & 3rd,7/7/2016,DTLA,Active,34.05088,-118.248253
3074,Hope & Olympic,7/7/2016,DTLA,Active,34.04417,-118.261169
3075,Broadway & 9th,7/7/2016,DTLA,Active,34.04211,-118.256187
3076,9th & Los Angeles,7/7/2016,DTLA,Active,34.0406,-118.253838
3077,8th & Wall,7/7/2016,DTLA,Active,34.039871000000005,-118.250038
3078,Hill & College,7/7/2016,DTLA,Active,34.064281,-118.238937
3079,Temple & Vignes,7/7/2016,DTLA,Active,34.05014,-118.233192
3080,San Julian & 12th,7/7/2016,DTLA,Inactive,34.034209999999995,-118.254593
3081,Stanford & 12th,7/13/2016,DTLA,Active,34.031890999999995,-118.250183
3082,Traction & Rose,8/29/2016,DTLA,Active,34.04652,-118.237411
4125,Banning's Landing,7/31/2017,Port of LA,Inactive,33.766659000000004,-118.261017
4126,Cabrillo Beach,7/31/2017,Port of LA,Inactive,33.710978999999995,-118.284668
4127,Catalina Express,7/31/2017,Port of LA,Inactive,33.74892,-118.275192
4129,Crafted 22nd St Park,7/31/2017,Port of LA,Inactive,33.725819,-118.28051
4130,DoubleTree Hotel,7/31/2017,Port of LA,Inactive,33.719261,-118.282722
4131,Downtown Harbor,7/31/2017,Port of LA,Inactive,33.738979,-118.279266
4132,Fanfare Fountain,7/31/2017,Port of LA,Inactive,33.74913,-118.280182
4133,Ports O'Call,7/31/2017,Port of LA,Inactive,33.733521,-118.277786
4134,USS IOWA,7/31/2017,Port of LA,Inactive,33.74136,-118.278069
4135,Waterfront Park (East),7/31/2017,Port of LA,Inactive,33.772301,-118.268044
4136,Waterfront Park (West),7/31/2017,Port of LA,Inactive,33.771759,-118.276543
4138,Old Pasadena,7/14/2017,Pasadena,Inactive,34.145691,-118.148239
4142,Pasadena Convention Center,7/14/2017,Pasadena,Inactive,34.144588,-118.144592
4144,Cordova & Lake,7/14/2017,Pasadena,Inactive,34.142399,-118.132652
4146,City Hall West,7/14/2017,Pasadena,Inactive,34.147831,-118.145042
4147,Fair Oaks & Mercantile Alley,7/14/2017,Pasadena,Inactive,34.145247999999995,-118.15007
4148,Pasadena Central Library,7/14/2017,Pasadena,Inactive,34.14967,-118.145111
4149,Arroyo Parkway & Bellevue,7/14/2017,Pasadena,Inactive,34.13821,-118.147079
4150,Villa Parke,7/14/2017,Pasadena,Inactive,34.154270000000004,-118.142151
4151,Los Robles & Cordova,7/14/2017,Pasadena,Inactive,34.142361,-118.14151
4152,Pasadena Museum,7/14/2017,Pasadena,Inactive,34.149712,-118.160172
4153,Rose Bowl,7/14/2017,Pasadena,Inactive,34.156181,-118.166687
4154,Fair Oaks & Peoria,7/14/2017,Pasadena,Inactive,34.15612,-118.151192
4155,Lake & Union,7/14/2017,Pasadena,Inactive,34.147812,-118.132217
4156,Madison & Walnut,7/14/2017,Pasadena,Inactive,34.14991,-118.13839
4157,Lake & Del Mar,7/14/2017,Pasadena,Inactive,34.140999,-118.13208799999998
4158,Lake & California,7/14/2017,Pasadena,Inactive,34.13525,-118.13237
4159,Pasadena City College,7/14/2017,Pasadena,Inactive,34.145901,-118.116539
4160,Fillmore Station,7/14/2017,Pasadena,Inactive,34.133011,-118.14856
4162,Memorial Park Station,7/14/2017,Pasadena,Inactive,34.147499,-118.14801
4163,Lake & Locust,7/14/2017,Pasadena,Inactive,34.150471,-118.132019
4165,Del Mar Station,7/14/2017,Pasadena,Inactive,34.14175,-118.14906299999998
4166,Colorado & Hill,7/14/2017,Pasadena,Inactive,34.145908,-118.12175
4167,Pasadena & Dayton,7/14/2017,Pasadena,Inactive,34.143822,-118.154099
4169,Oakland & Union,7/14/2017,Pasadena,Inactive,34.146961,-118.139839
4170,Lake & Merrett,7/14/2017,Pasadena,Inactive,34.160709000000004,-118.132401
4174,Fair Oaks & Hammond,7/14/2017,Pasadena,Inactive,34.165291,-118.15097
4176,Caltech East,7/14/2017,Pasadena,Inactive,34.13785900000001,-118.122414
4177,Madison & Colorado,7/14/2017,Pasadena,Inactive,34.144981,-118.13826
4180,Caltech West,7/21/2017,Pasadena,Inactive,34.137951,-118.128502
4181,Oak Knoll & Colorado,7/14/2017,Pasadena,Inactive,34.146221000000004,-118.135262
4183,Catalina & Colorado,7/14/2017,Pasadena,Inactive,34.146069,-118.129181
4194,Union Station East,7/25/2017,DTLA,Inactive,34.056702,-118.231392
